FFID	Line	Point	Gps time(us)	UTC Date	UTC Time	Time Source	Latitude	Longitude	Comment
1	1.0	1.0	1333794517074693	2022-04-12	10:28:19.074693	GPS	59.1344120401317	9.63128481531418	
2	1.0	2.0	1333794523513151	2022-04-12	10:28:25.513151	GPS	59.13444425433998	9.6312132522792	
3	1.0	3.0	1333794529561228	2022-04-12	10:28:31.561228	GPS	59.134479773829995	9.631142452339994	
4	1.0	4.0	1333794533285580	2022-04-12	10:28:35.285580	GPS	59.134500094566704	9.6310995969167	
5	1.0	5.0	1333794537109630	2022-04-12	10:28:39.109630	GPS	59.1345188814833	9.631053129625	
6	1.0	6.0	1333794541617232	2022-04-12	10:28:43.617232	GPS	59.1345395718	9.6309938463933	
7	1.0	7.0	1333794545588993	2022-04-12	10:28:47.588993	GPS	59.1345562782983	9.6309369984383	
8	1.0	8.0	1333794549580986	2022-04-12	10:28:51.580986	GPS	59.13456993662	9.630874785209999	
9	1.0	9.0	1333794553259459	2022-04-12	10:28:55.259459	GPS	59.134581698196676	9.630816175683348	
10	1.0	10.0	1333794562163254	2022-04-12	10:29:04.163254	GPS	59.1346092788692	9.630674649834187	
11	1.0	11.0	1333794566315813	2022-04-12	10:29:08.315813	GPS	59.13462360096545	9.630613047882903	
12	1.0	12.0	1333794570314525	2022-04-12	10:29:12.314525	GPS	59.13463897718748	9.630556377562518	
13	1.0	13.0	1333794577839631	2022-04-12	10:29:19.839631	GPS	59.134669331795855	9.6304591712792	
14	1.0	14.0	1333794581455380	2022-04-12	10:29:23.455380	GPS	59.13468339741669	9.6304129744167	
15	1.0	15.0	1333794585003028	2022-04-12	10:29:27.003028	GPS	59.13469751261667	9.630369459626667	
16	1.0	16.0	1333794588557707	2022-04-12	10:29:30.557707	GPS	59.1347109552017	9.630329291507474	
17	1.0	17.0	1333794592049962	2022-04-12	10:29:34.049962	GPS	59.13472399987331	9.630293875348308	
18	1.0	18.0	1333794595797015	2022-04-12	10:29:37.797015	GPS	59.1347391517417	9.6302576965167	
19	1.0	19.0	1333794599301034	2022-04-12	10:29:41.301034	GPS	59.13475408936502	9.630223821270016	
20	1.0	20.0	1333794603271723	2022-04-12	10:29:45.271723	GPS	59.134771405743315	9.63018578909045	
21	1.0	21.0	1333794610269347	2022-04-12	10:29:52.269347	GPS	59.13480306448998	9.630119588775022	
22	1.0	22.0	1333794614295818	2022-04-12	10:29:56.295818	GPS	59.1348223124233	9.630079788335001	
23	1.0	23.0	1333794618395761	2022-04-12	10:30:00.395761	GPS	59.1348401454717	9.6300417055242	
24	1.0	24.0	1333794622268254	2022-04-12	10:30:04.268254	GPS	59.134856398148344	9.630005537036645	
25	1.0	25.0	1333794632180915	2022-04-12	10:30:14.180915	GPS	59.13490208714581	9.6299098575167	
26	1.0	26.0	1333794637018551	2022-04-12	10:30:19.018551	GPS	59.134922032046376	9.629867966825577	
27	1.0	27.0	1333794643465982	2022-04-12	10:30:25.465982	GPS	59.13494877492499	9.629826226786678	
28	1.0	28.0	1333794651638474	2022-04-12	10:30:33.638474	GPS	59.13498742316003	9.629783839691674	
29	1.0	29.0	1333794671232094	2022-04-12	10:30:53.232094	GPS	59.13509530039163	9.6297642469017	
30	1.0	30.0	1333794675446365	2022-04-12	10:30:57.446365	GPS	59.13511364243332	9.629772321216686	
31	1.0	31.0	1333794679596576	2022-04-12	10:31:01.596576	GPS	59.13513647717333	9.6297738333333	
32	1.0	32.0	1333794683494695	2022-04-12	10:31:05.494695	GPS	59.13516046463333	9.629756868700015	
33	1.0	33.0	1333794687808916	2022-04-12	10:31:09.808916	GPS	59.1351887335367	9.629720584936697	
34	1.0	34.0	1333794691480509	2022-04-12	10:31:13.480509	GPS	59.135212370059996	9.629684595334147	
35	1.0	35.0	1333794695165145	2022-04-12	10:31:17.165145	GPS	59.13523660096664	9.62964421092914	
36	1.0	36.0	1333794702070361	2022-04-12	10:31:24.070361	GPS	59.13528079317082	9.62956229639	
37	1.0	37.0	1333794706870337	2022-04-12	10:31:28.870337	GPS	59.13531091029918	9.629506679401679	
38	1.0	38.0	1333794710946301	2022-04-12	10:31:32.946301	GPS	59.13533568675583	9.629459203656701	
39	1.0	39.0	1333794715047750	2022-04-12	10:31:37.047750	GPS	59.13536265166663	9.629411109583366	
40	1.0	40.0	1333794718949447	2022-04-12	10:31:40.949447	GPS	59.13538802744813	9.62936648538795	
41	1.0	41.0	1333794722324452	2022-04-12	10:31:44.324452	GPS	59.135410392636636	9.6293309221467	
42	1.0	42.0	1333794729092094	2022-04-12	10:31:51.092094	GPS	59.1354522038817	9.629255117818357	
43	1.0	43.0	1333794733441076	2022-04-12	10:31:55.441076	GPS	59.135480607173335	9.62922372765443	
44	1.0	44.0	1333794737706710	2022-04-12	10:31:59.706710	GPS	59.13550828914164	9.6292132167208	
45	1.0	45.0	1333794741427283	2022-04-12	10:32:03.427283	GPS	59.13552907328082	9.629223343479978	
46	1.0	46.0	1333794745910112	2022-04-12	10:32:07.910112	GPS	59.135545792133335	9.629244389511127	
47	1.0	47.0	1333794802174431	2022-04-12	10:33:04.174431	GPS	59.13537154640834	9.629489511676097	
48	1.0	48.0	1333794807054335	2022-04-12	10:33:09.054335	GPS	59.135330233851136	9.629510322281128	
49	1.0	49.0	1333794811766399	2022-04-12	10:33:13.766399	GPS	59.13529269902759	9.629538271288164	
50	1.0	50.0	1333794815107373	2022-04-12	10:33:17.107373	GPS	59.13526510112887	9.629557626342466	
51	1.0	51.0	1333794819079260	2022-04-12	10:33:21.079260	GPS	59.135231028183355	9.629580506383329	
52	1.0	52.0	1333794826593896	2022-04-12	10:33:28.593896	GPS	59.1351708791133	9.629627706763332	
53	1.0	53.0	1333794830109720	2022-04-12	10:33:32.109720	GPS	59.13514336884447	9.62965610607775	
54	1.0	54.0	1333794834274077	2022-04-12	10:33:36.274077	GPS	59.13511207611058	9.629690644060537	
55	1.0	55.0	1333794838200605	2022-04-12	10:33:40.200605	GPS	59.13508638519168	9.629724394266677	
56	1.0	56.0	1333794842382650	2022-04-12	10:33:44.382650	GPS	59.135058550472245	9.629763609097209	
57	1.0	57.0	1333794848820395	2022-04-12	10:33:50.820395	GPS	59.135016496601814	9.62982358657173	
58	1.0	58.0	1333794852877452	2022-04-12	10:33:54.877452	GPS	59.13498994431818	9.629861023642437	
59	1.0	59.0	1333794857992990	2022-04-12	10:33:59.992990	GPS	59.134960969715635	9.629908120881323	
60	1.0	60.0	1333794862512137	2022-04-12	10:34:04.512137	GPS	59.134933322088706	9.629950740479028	
61	1.0	61.0	1333794866543072	2022-04-12	10:34:08.543072	GPS	59.1349070817667	9.629988275913302	
62	1.0	62.0	1333794871227064	2022-04-12	10:34:13.227064	GPS	59.13487165290664	9.630034459860024	
63	1.0	63.0	1333794875289253	2022-04-12	10:34:17.289253	GPS	59.134843602409696	9.630072151485866	
64	1.0	64.0	1333794879648085	2022-04-12	10:34:21.648085	GPS	59.134810597163884	9.63011402304862	
65	1.0	65.0	1333794883875748	2022-04-12	10:34:25.875748	GPS	59.13477948366168	9.6301554241467	
66	1.0	66.0	1333794887801598	2022-04-12	10:34:29.801598	GPS	59.13474790401581	9.630198518643333	
67	1.0	67.0	1333794891178588	2022-04-12	10:34:33.178588	GPS	59.134720845100034	9.630239890095032	
68	1.0	68.0	1333794895429457	2022-04-12	10:34:37.429457	GPS	59.1346879457392	9.630292534879201	
69	1.0	69.0	1333794902544099	2022-04-12	10:34:44.544099	GPS	59.13463453934003	9.630379754653324	
70	1.0	70.0	1333794907005913	2022-04-12	10:34:49.005913	GPS	59.134604627246695	9.630434917100802	
71	1.0	71.0	1333794919462324	2022-04-12	10:35:01.462324	GPS	59.134539740316676	9.63059077905	
72	1.0	72.0	1333794923133438	2022-04-12	10:35:05.133438	GPS	59.1345209994767	9.6306345013083	
73	1.0	73.0	1333794928109536	2022-04-12	10:35:10.109536	GPS	59.1344921189867	9.630701551759982	
74	1.0	74.0	1333794934414218	2022-04-12	10:35:16.414218	GPS	59.13445795260667	9.630793379936701	
75	1.0	75.0	1333794940020983	2022-04-12	10:35:22.020983	GPS	59.134436798361634	9.630881183049974	
76	1.0	76.0	1333794945345174	2022-04-12	10:35:27.345174	GPS	59.134425137065	9.6309678738783	
77	1.0	77.0	1333794950289042	2022-04-12	10:35:32.289042	GPS	59.134412684929984	9.631049891568301	
78	1.0	78.0	1333794955495086	2022-04-12	10:35:37.495086	GPS	59.13439834152335	9.63113500552835	
79	1.0	79.0	1333794960492562	2022-04-12	10:35:42.492562	GPS	59.134382723829155	9.631216575069157	
80	1.0	80.0	1333794964664966	2022-04-12	10:35:46.664966	GPS	59.13437611252836	9.631290357710013	
81	1.0	81.0	1333794969077919	2022-04-12	10:35:51.077919	GPS	59.134377231599174	9.631374956645812	
82	1.0	82.0	1333795004702326	2022-04-12	10:36:26.702326	GPS	59.1346068449633	9.631457546505017	
83	1.0	83.0	1333795009987772	2022-04-12	10:36:31.987772	GPS	59.1346276259067	9.631367401036696	
84	1.0	84.0	1333795014372993	2022-04-12	10:36:36.372993	GPS	59.13464424330997	9.63128704014	
85	1.0	85.0	1333795019273275	2022-04-12	10:36:41.273275	GPS	59.1346615330417	9.631197989958324	
86	1.0	86.0	1333795023893301	2022-04-12	10:36:45.893301	GPS	59.1346817220875	9.631121856067496	
87	1.0	87.0	1333795027609816	2022-04-12	10:36:49.609816	GPS	59.1347003824133	9.631066177913302	
88	1.0	88.0	1333795031447218	2022-04-12	10:36:53.447218	GPS	59.134719069423305	9.631010997745017	
89	1.0	89.0	1333795035642292	2022-04-12	10:36:57.642292	GPS	59.1347395447933	9.63095526943998	
90	1.0	90.0	1333795039110188	2022-04-12	10:37:01.110188	GPS	59.13475362578335	9.6309097893167	
91	1.0	91.0	1333795043162086	2022-04-12	10:37:05.162086	GPS	59.134768040286694	9.630864410735008	
92	1.0	92.0	1333795047336445	2022-04-12	10:37:09.336445	GPS	59.1347855155583	9.630826196291679	
93	1.0	93.0	1333795054566114	2022-04-12	10:37:16.566114	GPS	59.1348206639033	9.63076889257336	
94	1.0	94.0	1333795059212802	2022-04-12	10:37:21.212802	GPS	59.1348438973433	9.63072887198	
95	1.0	95.0	1333795063350734	2022-04-12	10:37:25.350734	GPS	59.13486454594832	9.630690118271692	
96	1.0	96.0	1333795067590724	2022-04-12	10:37:29.590724	GPS	59.134884953619995	9.630649085029999	
97	1.0	97.0	1333795071914637	2022-04-12	10:37:33.914637	GPS	59.13490583538249	9.630613378025005	
98	1.0	98.0	1333795076118466	2022-04-12	10:37:38.118466	GPS	59.1349272218283	9.630581444838299	
99	1.0	99.0	1333795080342558	2022-04-12	10:37:42.342558	GPS	59.13494995038664	9.630547193218357	
100	1.0	100.0	1333795084125991	2022-04-12	10:37:46.125991	GPS	59.13497150660668	9.6305114067567	
101	1.0	101.0	1333795091385759	2022-04-12	10:37:53.385759	GPS	59.1350117502608	9.630439469809552	
102	1.0	102.0	1333795095662417	2022-04-12	10:37:57.662417	GPS	59.135034312085	9.630390271801677	
103	1.0	103.0	1333795099422489	2022-04-12	10:38:01.422489	GPS	59.13505363118583	9.630348589702475	
104	1.0	104.0	1333795103021181	2022-04-12	10:38:05.021181	GPS	59.13507158825416	9.630312972507525	
105	1.0	105.0	1333795110226074	2022-04-12	10:38:12.226074	GPS	59.13510998543164	9.630248260988338	
106	1.0	106.0	1333795114524360	2022-04-12	10:38:16.524360	GPS	59.135133558766654	9.630207360033323	
107	1.0	107.0	1333795118275086	2022-04-12	10:38:20.275086	GPS	59.1351543026208	9.630172051187468	
108	1.0	108.0	1333795122665475	2022-04-12	10:38:24.665475	GPS	59.13517818798956	9.63013084525	
109	1.0	109.0	1333795126938654	2022-04-12	10:38:28.938654	GPS	59.13520209102668	9.630089895671688	
110	1.0	110.0	1333795130910402	2022-04-12	10:38:32.910402	GPS	59.13522423023443	9.6300505626467	
111	1.0	111.0	1333795134498811	2022-04-12	10:38:36.498811	GPS	59.135244313958104	9.630013454426345	
112	1.0	112.0	1333795138843777	2022-04-12	10:38:40.843777	GPS	59.1352684492692	9.629971974522487	
113	1.0	113.0	1333795142683714	2022-04-12	10:38:44.683714	GPS	59.135288654998334	9.629937802383319	
114	1.0	114.0	1333795146404898	2022-04-12	10:38:48.404898	GPS	59.13530958276668	9.629903846711677	
115	1.0	115.0	1333795150649287	2022-04-12	10:38:52.649287	GPS	59.13533362173368	9.629865573203151	
116	1.0	116.0	1333795154885662	2022-04-12	10:38:56.885662	GPS	59.13535841066714	9.629828888651506	
117	1.0	117.0	1333795158717067	2022-04-12	10:39:00.717067	GPS	59.13538082993918	9.629795710905297	
118	1.0	118.0	1333795162892156	2022-04-12	10:39:04.892156	GPS	59.13540545642222	9.629759561008887	
119	1.0	119.0	1333795166283479	2022-04-12	10:39:08.283479	GPS	59.13542548696085	9.629730922457927	
120	1.0	120.0	1333795170107024	2022-04-12	10:39:12.107024	GPS	59.13544779097333	9.62969794146667	
121	1.0	121.0	1333795179603250	2022-04-12	10:39:21.603250	GPS	59.135504018958365	9.629612306250033	
122	1.0	122.0	1333795184112396	2022-04-12	10:39:26.112396	GPS	59.13553032230997	9.629572254367783	
123	1.0	123.0	1333795192880559	2022-04-12	10:39:34.880559	GPS	59.135583714527236	9.629488850276095	
124	1.0	124.0	1333795196745900	2022-04-12	10:39:38.745900	GPS	59.135605966750006	9.629458052833348	
125	1.0	125.0	1333795200114883	2022-04-12	10:39:42.114883	GPS	59.13562461378057	9.629456182735353	
126	1.0	126.0	1333795214654388	2022-04-12	10:39:56.654388	GPS	59.135683605754444	9.6295382412433	
127	1.0	127.0	1333795243469546	2022-04-12	10:40:25.469546	GPS	59.13558578769567	9.629790568864353	
128	1.0	128.0	1333795248348493	2022-04-12	10:40:30.348493	GPS	59.135553800457465	9.629833861185867	
129	1.0	129.0	1333795253418690	2022-04-12	10:40:35.418690	GPS	59.1355228754	9.6298810046583	
130	1.0	130.0	1333795257989814	2022-04-12	10:40:39.989814	GPS	59.135493237402805	9.629922739961634	
131	1.0	131.0	1333795261826846	2022-04-12	10:40:43.826846	GPS	59.135468146902745	9.629957086878857	
132	1.0	132.0	1333795265593898	2022-04-12	10:40:47.593898	GPS	59.1354435381375	9.629991944064999	
133	1.0	133.0	1333795269631024	2022-04-12	10:40:51.631024	GPS	59.135417857346646	9.630030015226646	
134	1.0	134.0	1333795277660547	2022-04-12	10:40:59.660547	GPS	59.13536809635337	9.630111167644705	
135	1.0	135.0	1333795281810890	2022-04-12	10:41:03.810890	GPS	59.13534153466	9.630160509475855	
136	1.0	136.0	1333795285272442	2022-04-12	10:41:07.272442	GPS	59.13532075939835	9.630200269478353	
137	1.0	137.0	1333795293326623	2022-04-12	10:41:15.326623	GPS	59.13527392803251	9.630289099563301	
138	1.0	138.0	1333795297366322	2022-04-12	10:41:19.366322	GPS	59.13525071459057	9.630331024618334	
139	1.0	139.0	1333795301530941	2022-04-12	10:41:23.530941	GPS	59.13522741803999	9.630373663919993	
140	1.0	140.0	1333795306894727	2022-04-12	10:41:28.894727	GPS	59.135195545668196	9.630431163057848	
141	1.0	141.0	1333795311483647	2022-04-12	10:41:33.483647	GPS	59.135168678725854	9.630482642548353	
142	1.0	142.0	1333795316542165	2022-04-12	10:41:38.542165	GPS	59.13513986146875	9.630540658591643	
143	1.0	143.0	1333795321807458	2022-04-12	10:41:43.807458	GPS	59.1351112929358	9.630601759891698	
144	1.0	144.0	1333795326066026	2022-04-12	10:41:48.066026	GPS	59.1350898365367	9.63065246448082	
145	1.0	145.0	1333795330518823	2022-04-12	10:41:52.518823	GPS	59.135067306865814	9.630705120582487	
146	1.0	146.0	1333795339781968	2022-04-12	10:42:01.781968	GPS	59.13501695354664	9.63080447132003	
147	1.0	147.0	1333795344463904	2022-04-12	10:42:06.463904	GPS	59.134985573973346	9.630854639039999	
148	1.0	148.0	1333795348912570	2022-04-12	10:42:10.912570	GPS	59.134957416199995	9.6308912923667	
149	1.0	149.0	1333795352994848	2022-04-12	10:42:14.994848	GPS	59.134931703160035	9.630932110853365	
150	1.0	150.0	1333795356701327	2022-04-12	10:42:18.701327	GPS	59.13490845003955	9.630974348814991	
151	1.0	151.0	1333795361146284	2022-04-12	10:42:23.146284	GPS	59.134885534611655	9.6310287933117	
152	1.0	152.0	1333795366157852	2022-04-12	10:42:28.157852	GPS	59.1348581494433	9.63109427135998	
153	1.0	153.0	1333795372900360	2022-04-12	10:42:34.900360	GPS	59.134814914566654	9.6311860878333	
154	1.0	154.0	1333795377855220	2022-04-12	10:42:39.855220	GPS	59.1347872239	9.631242339516652	
155	1.0	155.0	1333795382538385	2022-04-12	10:42:44.538385	GPS	59.134768359420846	9.631293614491643	
