FFID	Line	Point	Gps time(us)	UTC Date	UTC Time	Time Source	Latitude	Longitude	Comment
1	1.0	1.0	1333794517074693	2022-04-12	10:28:19.074693	GPS	590803.768	0093751.816	
2	1.0	2.0	1333794523513151	2022-04-12	10:28:25.513151	GPS	590803.768	0093751.888	
3	1.0	3.0	1333794529561228	2022-04-12	10:28:31.561228	GPS	590803.804	0093751.924	
4	1.0	4.0	1333794533285580	2022-04-12	10:28:35.285580	GPS	590803.804	0093751.924	
5	1.0	5.0	1333794537109630	2022-04-12	10:28:39.109630	GPS	590803.840	0093751.924	
6	1.0	6.0	1333794541617232	2022-04-12	10:28:43.617232	GPS	590803.876	0093751.888	
7	1.0	7.0	1333794545588993	2022-04-12	10:28:47.588993	GPS	590803.912	0093751.852	
8	1.0	8.0	1333794549580986	2022-04-12	10:28:51.580986	GPS	590803.912	0093751.852	
9	1.0	9.0	1333794553259459	2022-04-12	10:28:55.259459	GPS	590803.948	0093751.816	
10	1.0	10.0	1333794562163254	2022-04-12	10:29:04.163254	GPS	590804.056	0093751.636	
11	1.0	11.0	1333794566315813	2022-04-12	10:29:08.315813	GPS	590804.128	0093751.492	
12	1.0	12.0	1333794570314525	2022-04-12	10:29:12.314525	GPS	590804.128	0093751.492	
13	1.0	13.0	1333794577839631	2022-04-12	10:29:19.839631	GPS	590804.164	0093751.240	
14	1.0	14.0	1333794581455380	2022-04-12	10:29:23.455380	GPS	590804.200	0093751.096	
15	1.0	15.0	1333794585003028	2022-04-12	10:29:27.003028	GPS	590804.200	0093751.096	
16	1.0	16.0	1333794588557707	2022-04-12	10:29:30.557707	GPS	590804.200	0093751.060	
17	1.0	17.0	1333794592049962	2022-04-12	10:29:34.049962	GPS	590804.236	0093750.988	
18	1.0	18.0	1333794595797015	2022-04-12	10:29:37.797015	GPS	590804.236	0093750.988	
19	1.0	19.0	1333794599301034	2022-04-12	10:29:41.301034	GPS	590804.272	0093750.952	
20	1.0	20.0	1333794603271723	2022-04-12	10:29:45.271723	GPS	590804.308	0093750.916	
21	1.0	21.0	1333794610269347	2022-04-12	10:29:52.269347	GPS	590804.344	0093750.880	
22	1.0	22.0	1333794614295818	2022-04-12	10:29:56.295818	GPS	590804.380	0093750.844	
23	1.0	23.0	1333794618395761	2022-04-12	10:30:00.395761	GPS	590804.416	0093750.772	
24	1.0	24.0	1333794622268254	2022-04-12	10:30:04.268254	GPS	590804.452	0093750.700	
25	1.0	25.0	1333794632180915	2022-04-12	10:30:14.180915	GPS	590804.524	0093750.592	
26	1.0	26.0	1333794637018551	2022-04-12	10:30:19.018551	GPS	590804.560	0093750.520	
27	1.0	27.0	1333794643465982	2022-04-12	10:30:25.465982	GPS	590804.668	0093750.376	
28	1.0	28.0	1333794651638474	2022-04-12	10:30:33.638474	GPS	590804.740	0093750.268	
29	1.0	29.0	1333794671232094	2022-04-12	10:30:53.232094	GPS	590804.992	0093749.800	
30	1.0	30.0	1333794675446365	2022-04-12	10:30:57.446365	GPS	590805.064	0093749.728	
31	1.0	31.0	1333794679596576	2022-04-12	10:31:01.596576	GPS	590805.100	0093749.620	
32	1.0	32.0	1333794683494695	2022-04-12	10:31:05.494695	GPS	590805.172	0093749.512	
33	1.0	33.0	1333794687808916	2022-04-12	10:31:09.808916	GPS	590805.244	0093749.440	
34	1.0	34.0	1333794691480509	2022-04-12	10:31:13.480509	GPS	590805.244	0093749.440	
35	1.0	35.0	1333794695165145	2022-04-12	10:31:17.165145	GPS	590805.280	0093749.368	
36	1.0	36.0	1333794702070361	2022-04-12	10:31:24.070361	GPS	590805.424	0093749.188	
37	1.0	37.0	1333794706870337	2022-04-12	10:31:28.870337	GPS	590805.424	0093749.188	
38	1.0	38.0	1333794710946301	2022-04-12	10:31:32.946301	GPS	590805.460	0093749.116	
39	1.0	39.0	1333794715047750	2022-04-12	10:31:37.047750	GPS	590805.532	0093749.008	
40	1.0	40.0	1333794718949447	2022-04-12	10:31:40.949447	GPS	590805.604	0093748.936	
41	1.0	41.0	1333794722324452	2022-04-12	10:31:44.324452	GPS	590805.640	0093748.864	
42	1.0	42.0	1333794729092094	2022-04-12	10:31:51.092094	GPS	590805.712	0093748.756	
43	1.0	43.0	1333794733441076	2022-04-12	10:31:55.441076	GPS	590805.748	0093748.684	
44	1.0	44.0	1333794737706710	2022-04-12	10:31:59.706710	GPS	590805.856	0093748.540	
45	1.0	45.0	1333794741427283	2022-04-12	10:32:03.427283	GPS	590805.856	0093748.540	
46	1.0	46.0	1333794745910112	2022-04-12	10:32:07.910112	GPS	-590805.928	-0002400.000	
47	1.0	47.0	1333794802174431	2022-04-12	10:33:04.174431	GPS	590806.864	0093747.244	
48	1.0	48.0	1333794807054335	2022-04-12	10:33:09.054335	GPS	590806.900	0093747.136	
49	1.0	49.0	1333794811766399	2022-04-12	10:33:13.766399	GPS	590806.936	0093747.028	
50	1.0	50.0	1333794815107373	2022-04-12	10:33:17.107373	GPS	590806.972	0093746.956	
51	1.0	51.0	1333794819079260	2022-04-12	10:33:21.079260	GPS	590806.972	0093746.884	
52	1.0	52.0	1333794826593896	2022-04-12	10:33:28.593896	GPS	590806.972	0093746.848	
53	1.0	53.0	1333794830109720	2022-04-12	10:33:32.109720	GPS	590806.972	0093746.812	
54	1.0	54.0	1333794834274077	2022-04-12	10:33:36.274077	GPS	590806.972	0093746.812	
55	1.0	55.0	1333794838200605	2022-04-12	10:33:40.200605	GPS	590806.972	0093746.812	
56	1.0	56.0	1333794842382650	2022-04-12	10:33:44.382650	GPS	590806.972	0093746.848	
57	1.0	57.0	1333794848820395	2022-04-12	10:33:50.820395	GPS	590806.972	0093746.884	
58	1.0	58.0	1333794852877452	2022-04-12	10:33:54.877452	GPS	590806.936	0093746.956	
59	1.0	59.0	1333794857992990	2022-04-12	10:33:59.992990	GPS	590806.936	0093746.992	
60	1.0	60.0	1333794862512137	2022-04-12	10:34:04.512137	GPS	590806.900	0093747.064	
61	1.0	61.0	1333794866543072	2022-04-12	10:34:08.543072	GPS	590806.864	0093747.136	
62	1.0	62.0	1333794871227064	2022-04-12	10:34:13.227064	GPS	590806.864	0093747.208	
63	1.0	63.0	1333794875289253	2022-04-12	10:34:17.289253	GPS	590806.792	0093747.280	
64	1.0	64.0	1333794879648085	2022-04-12	10:34:21.648085	GPS	590806.756	0093747.352	
65	1.0	65.0	1333794883875748	2022-04-12	10:34:25.875748	GPS	590806.756	0093747.352	
66	1.0	66.0	1333794887801598	2022-04-12	10:34:29.801598	GPS	590806.684	0093747.460	
67	1.0	67.0	1333794891178588	2022-04-12	10:34:33.178588	GPS	590806.612	0093747.604	
68	1.0	68.0	1333794895429457	2022-04-12	10:34:37.429457	GPS	590806.540	0093747.712	
69	1.0	69.0	1333794902544099	2022-04-12	10:34:44.544099	GPS	590806.468	0093747.856	
70	1.0	70.0	1333794907005913	2022-04-12	10:34:49.005913	GPS	590806.396	0093748.000	
71	1.0	71.0	1333794919462324	2022-04-12	10:35:01.462324	GPS	590806.216	0093748.288	
72	1.0	72.0	1333794923133438	2022-04-12	10:35:05.133438	GPS	590806.144	0093748.468	
73	1.0	73.0	1333794928109536	2022-04-12	10:35:10.109536	GPS	590806.000	0093748.684	
74	1.0	74.0	1333794934414218	2022-04-12	10:35:16.414218	GPS	590805.928	0093748.900	
75	1.0	75.0	1333794940020983	2022-04-12	10:35:22.020983	GPS	590805.784	0093749.296	
76	1.0	76.0	1333794945345174	2022-04-12	10:35:27.345174	GPS	590805.712	0093749.512	
77	1.0	77.0	1333794950289042	2022-04-12	10:35:32.289042	GPS	590805.604	0093749.728	
78	1.0	78.0	1333794955495086	2022-04-12	10:35:37.495086	GPS	590805.568	0093749.944	
79	1.0	79.0	1333794960492562	2022-04-12	10:35:42.492562	GPS	590805.496	0093750.196	
80	1.0	80.0	1333794964664966	2022-04-12	10:35:46.664966	GPS	590805.496	0093750.196	
81	1.0	81.0	1333794969077919	2022-04-12	10:35:51.077919	GPS	590805.424	0093750.412	
82	1.0	82.0	1333795004702326	2022-04-12	10:36:26.702326	GPS	590804.992	0093751.708	
83	1.0	83.0	1333795009987772	2022-04-12	10:36:31.987772	GPS	590804.956	0093751.816	
84	1.0	84.0	1333795014372993	2022-04-12	10:36:36.372993	GPS	590804.884	0093751.960	
85	1.0	85.0	1333795019273275	2022-04-12	10:36:41.273275	GPS	590804.812	0093752.140	
86	1.0	86.0	1333795023893301	2022-04-12	10:36:45.893301	GPS	590804.776	0093752.212	
87	1.0	87.0	1333795027609816	2022-04-12	10:36:49.609816	GPS	590804.776	0093752.284	
88	1.0	88.0	1333795031447218	2022-04-12	10:36:53.447218	GPS	590804.776	0093752.320	
