X,Y,T,LAT,LNG,T
107480.504291232,1126307.49482559,90014.8,59.13388023,9.630659257,38.560050964
107480.504577274,1126307.49493754,90015,59.133880231,9.630659262,38.56344986
107480.503890686,1126307.4947134,90015.2,59.133880229,9.63065925,38.562610626
107480.496329503,1126307.49670376,90015.4,59.133880247,9.630659118,38.557594299
107480.4951849,1126307.49647873,90015.6,59.133880245,9.630659098,38.559436798
107480.497252948,1126307.49291804,90015.8,59.133880213,9.630659134,38.561794281
107480.497596896,1126307.49269592,90016,59.133880211,9.63065914,38.560779572
107480.495194713,1126307.49146585,90016.2,59.1338802,9.630659098,38.562042236
107480.496171049,1126307.48990819,90016.4,59.133880186,9.630659115,38.559692383
107480.497029828,1126307.48990987,90016.6,59.133880186,9.63065913,38.562660217
107480.498859274,1126307.49125022,90016.8,59.133880198,9.630659162,38.562591553
107480.495997548,1126307.49079903,90017,59.133880194,9.630659112,38.562911987
107480.49645491,1126307.49113412,90017.2,59.133880197,9.63065912,38.559520721
107480.498802894,1126307.49080452,90017.4,59.133880194,9.630659161,38.558868408
107480.498750439,1126307.48835367,90017.6,59.133880172,9.63065916,38.560207367
107480.498291988,1126307.48857557,90017.8,59.133880174,9.630659152,38.557617188
107480.49633997,1126307.49135669,90018,59.133880199,9.630659118,38.562221527
107480.497599731,1126307.49124776,90018.2,59.133880198,9.63065914,38.560108185
107480.495425029,1126307.49079791,90018.4,59.133880194,9.630659102,38.555393219
107480.495081735,1126307.49068584,90018.6,59.133880193,9.630659096,38.561023712
107480.494455888,1126307.48867946,90018.8,59.133880175,9.630659085,38.561515808
107480.494739968,1126307.48979399,90019,59.133880185,9.63065909,38.560153961
107480.491535821,1126307.48878514,90019.2,59.133880176,9.630659034,38.560726166
107480.490675733,1126307.48945184,90019.4,59.133880182,9.630659019,38.560600281
107480.490216627,1126307.49000793,90019.6,59.133880187,9.630659011,38.561763763
107480.492102017,1126307.49201678,90019.8,59.133880205,9.630659044,38.562652588
107480.487122405,1126307.49133865,90020,59.133880199,9.630658957,38.559497833
107480.484544976,1126307.49189059,90020.2,59.133880204,9.630658912,38.558437347
107480.488604632,1126307.49457208,90020.4,59.133880228,9.630658983,38.561153412
107480.491985114,1126307.49324193,90020.6,59.133880216,9.630659042,38.562660217
107480.494567122,1126307.49035064,90020.8,59.13388019,9.630659087,38.560657501
107480.491014447,1126307.49190325,90021,59.133880204,9.630659025,38.560382843
107480.492561341,1126307.49134929,90021.2,59.133880199,9.630659052,38.557044983
107480.493132334,1126307.4921302,90021.4,59.133880206,9.630659062,38.557800293
107480.489752506,1126307.49312616,90021.6,59.133880215,9.630659003,38.557834625
107480.48815294,1126307.49134066,90021.8,59.133880199,9.630658975,38.556621552
107480.485174748,1126307.49189182,90022,59.133880204,9.630658923,38.552944183
107480.485117714,1126307.49178031,90022.2,59.133880203,9.630658922,38.55519104
107480.48551826,1126307.4918925,90022.4,59.133880204,9.630658929,38.553150177
107480.484773984,1126307.49189104,90022.6,59.133880204,9.630658916,38.556018829
107480.481681942,1126307.49210778,90022.8,59.133880206,9.630658862,38.561962128
107480.480133959,1126307.49321873,90023,59.133880216,9.630658835,38.561145782
107480.474582264,1126307.49231668,90023.2,59.133880208,9.630658738,38.557830811
107480.465721293,1126307.48561547,90023.4,59.133880148,9.630658583,38.553901672
107480.453242329,1126307.48458846,90023.6,59.133880139,9.630658365,38.546154022
107480.461879307,1126307.48872709,90023.8,59.133880176,9.630658516,38.548370361
107480.474008872,1126307.49276115,90024,59.133880212,9.630658728,38.560157776
107480.480641158,1126307.49734144,90024.2,59.133880253,9.630658844,38.562591553
107480.484529494,1126307.4997998,90024.4,59.133880275,9.630658912,38.569133759
107480.495185336,1126307.49625593,90024.6,59.133880243,9.630659098,38.567829132
107480.512761033,1126307.49662453,90024.8,59.133880246,9.630659405,38.569229126
107480.537884393,1126307.5019094,90025,59.133880293,9.630659844,38.584926605
107480.578399808,1126307.51168031,90025.2,59.13388038,9.630660552,38.607349396
107480.602835708,1126307.51718663,90025.4,59.133880429,9.630660979,38.617721558
107480.566613101,1126307.50798111,90025.6,59.133880347,9.630660346,38.600761414
107480.531307832,1126307.498109,90025.8,59.133880259,9.630659729,38.584724426
107480.505899956,1126307.49193239,90026,59.133880204,9.630659285,38.572288513
107480.488617061,1126307.48822244,90026.2,59.133880171,9.630658983,38.567844391
107480.4780309,1126307.48541677,90026.4,59.133880146,9.630658798,38.559761047
107480.468929147,1126307.48473057,90026.6,59.13388014,9.630658639,38.553516388
107480.462689992,1126307.48404997,90026.8,59.133880134,9.63065853,38.553268433
107480.458856946,1126307.4825943,90027,59.133880121,9.630658463,38.547058105
107480.460290862,1126307.48126033,90027.2,59.133880109,9.630658488,38.541275024
107480.45079227,1126307.47856819,90027.4,59.133880085,9.630658322,38.537666321
107480.450111134,1126307.47555912,90027.6,59.133880058,9.63065831,38.533809662
107480.451086598,1126307.47444705,90027.8,59.133880048,9.630658327,38.531890869
107480.452061408,1126307.47366917,90028,59.133880041,9.630658344,38.535385132
107480.451255737,1126307.47578416,90028.2,59.13388006,9.63065833,38.53459549
107480.456521173,1126307.47668564,90028.4,59.133880068,9.630658422,38.53332901
107480.45852848,1126307.47490721,90028.6,59.133880052,9.630658457,38.534061432
107480.457666866,1126307.47635369,90028.8,59.133880065,9.630658442,38.5338974
107480.46115989,1126307.47602634,90029,59.133880062,9.630658503,38.535678864
107480.458183878,1126307.47546353,90029.2,59.133880057,9.630658451,38.530757904
107480.458472973,1126307.47401592,90029.4,59.133880044,9.630658456,38.529880524
107480.457215392,1126307.47301088,90029.6,59.133880035,9.630658434,38.527328491
107480.450692812,1126307.47088155,90029.8,59.133880016,9.63065832,38.51984787
107480.455848541,1126307.46933208,90030,59.133880002,9.63065841,38.520679474
107480.451614076,1126307.46820981,90030.2,59.133879992,9.630658336,38.522769928
107480.440052234,1126307.46662761,90030.4,59.133879978,9.630658134,38.519199371
107480.44284079,1126307.47521069,90030.6,59.133880055,9.630658183,38.518630981
107480.465374947,1126307.48706297,90030.8,59.133880161,9.630658577,38.53811264
107480.482879,1126307.49478367,90031,59.13388023,9.630658883,38.556423187
107480.489219358,1126307.50225973,90031.2,59.133880297,9.630658994,38.580417633
107480.485433969,1126307.50570565,90031.4,59.133880328,9.630658928,38.572883606
107480.45417222,1126307.50675843,90031.6,59.133880338,9.630658382,38.552963257
107480.463956513,1126307.48048772,90031.8,59.133880102,9.630658552,38.525604248
107480.475808079,1126307.42180432,90032,59.133879575,9.630658757,38.507537842
107480.444647314,1126307.42976396,90032.2,59.133879647,9.630658213,38.501857758
107480.489404293,1126307.46627862,90032.4,59.133879974,9.630658996,38.491668701
107480.521437914,1126307.48037744,90032.6,59.1338801,9.630659556,38.491207123
107480.551427352,1126307.45659703,90032.8,59.133879886,9.630660079,38.437255859
107480.552631267,1126307.426522,90033,59.133879616,9.630660099,38.347167969
107480.566945225,1126307.39680682,90033.2,59.133879349,9.630660348,38.251998901
107480.619596966,1126307.40715848,90033.4,59.133879441,9.630661268,38.184131622
107480.644900805,1126307.4079878,90033.6,59.133879448,9.63066171,38.146179199
107480.655438872,1126307.40611466,90033.8,59.133879431,9.630661894,38.126625061
107480.667686746,1126307.37895759,90034,59.133879187,9.630662107,38.08971405
107480.774653228,1126307.31054598,90034.2,59.133878571,9.630663973,38.002929688
107480.787494774,1126307.27258449,90034.4,59.13387823,9.630664196,37.866657257
107480.82454835,1126307.26675294,90034.6,59.133878177,9.630664843,37.794788361
107480.852002687,1126307.28039721,90034.8,59.133878299,9.630665323,37.789527893
107480.889795722,1126307.21853405,90035,59.133877743,9.630665981,37.906448364
107480.919211118,1126307.1955323,90035.2,59.133877536,9.630666494,37.984352112
107480.933250933,1126307.18887592,90035.4,59.133877476,9.630666739,38.032722473
107480.927814831,1126307.18741711,90035.6,59.133877463,9.630666644,38.050609589
107480.948483125,1126307.21653238,90035.8,59.133877724,9.630667006,38.084041595
107480.973825146,1126307.25635098,90036,59.133878081,9.63066745,38.085174561
107480.983978268,1126307.27564266,90036.2,59.133878254,9.630667628,38.060260773
107481.023420424,1126307.36572924,90036.4,59.133879062,9.63066832,38.046627045
107480.961672526,1126307.81977692,90036.6,59.133883139,9.630667257,37.207630157
107481.032356594,1126307.97743168,90036.8,59.133884553,9.630668497,37.230724335
107481.099720566,1126308.04707574,90037,59.133885177,9.630669676,37.144302368
107481.139084959,1126308.14763356,90037.2,59.133886079,9.630670367,37.11000061
107481.137381809,1126308.19876178,90037.4,59.133886538,9.630670339,37.147323608
107481.183563325,1126308.29721639,90037.6,59.133887421,9.630671149,37.105815887
107481.265634931,1126308.37000838,90037.8,59.133888073,9.630672585,37.044017792
107481.384841444,1126308.39541763,90038,59.133888299,9.630674668,37.038433075
107481.568955957,1126308.4289746,90038.2,59.133888597,9.630677885,37.000770569
107481.809553382,1126308.5045277,90038.4,59.133889271,9.63068209,37.035739899
107482.032530723,1126308.63162348,90038.6,59.133890408,9.630685989,37.05355072
107482.259401618,1126308.75850409,90038.8,59.133891543,9.630689956,37.044464111
107482.490977844,1126308.87993544,90039,59.133892629,9.630694005,37.054058075
107482.732559943,1126309.03736787,90039.2,59.133894038,9.63069823,37.02469635
107482.991772576,1126309.13791059,90039.4,59.133894936,9.630702761,37.07648468
107483.220515809,1126309.30267016,90039.6,59.133896411,9.630706762,37.161453247
107483.453901207,1126309.52347189,90039.8,59.133898389,9.630710846,37.134220123
107483.653663603,1126309.6354836,90040,59.133899391,9.630714339,37.188270569
107483.930754982,1126309.81548799,90040.2,59.133901002,9.630719185,37.112415314
107484.182500441,1126309.95767892,90040.4,59.133902274,9.630723587,37.097358704
107484.395956657,1126310.12274281,90040.6,59.133903752,9.630727321,37.09753418
107484.675786587,1126310.27835651,90040.8,59.133905144,9.630732214,37.106307983
107484.885979535,1126310.41411643,90041,59.133906359,9.63073589,37.128067017
107485.122384025,1126310.55494061,90041.2,59.133907619,9.630740024,37.096038818
107485.441918923,1126310.69559344,90041.4,59.133908876,9.63074561,37.127403259
107485.704357882,1126310.90263889,90041.6,59.13391073,9.630750201,37.18062973
107485.985194669,1126311.07028561,90041.8,59.13391223,9.630755112,37.206604004
107486.215452471,1126311.25086681,90042,59.133913847,9.63075914,37.240261078
107486.472309175,1126311.41412207,90042.2,59.133915308,9.630763632,37.256706238
107486.744063357,1126311.65894968,90042.4,59.133917501,9.630768387,37.26486969
107486.950065561,1126311.94653663,90042.6,59.133920079,9.630771995,37.270874023
107487.136412151,1126312.21414487,90042.8,59.133922478,9.630775259,37.26102066
107487.299040216,1126312.46076389,90043,59.133924689,9.630778108,37.237857819
107487.464125003,1126312.68076366,90043.2,59.133926661,9.630780999,37.231185913
107487.697835258,1126312.96929611,90043.4,59.133929247,9.630785091,37.269714355
107487.795869611,1126313.22269525,90043.6,59.13393152,9.630786812,37.365127563
107487.969236495,1126313.48181188,90043.8,59.133933843,9.630789849,37.375278473
107488.15298406,1126313.73170285,90044,59.133936083,9.630793067,37.438453674
107488.327991247,1126313.85491747,90044.2,59.133937186,9.630796128,37.513343811
107488.53743138,1126314.14095167,90044.4,59.13393975,9.630799796,37.49741745
107488.728668827,1126314.39598163,90044.6,59.133942036,9.630803145,37.582679749
107488.937778374,1126314.61695893,90044.8,59.133944016,9.630806805,37.622543335
107489.090946182,1126314.78279612,90045,59.133945502,9.630809486,37.776294708
107489.3031385,1126314.97904918,90045.2,59.13394726,9.630813199,37.896652222
107489.524403492,1126315.19080432,90045.4,59.133949157,9.630817071,38.03817749
107489.758557329,1126315.3989086,90045.6,59.133951021,9.630821168,38.310665131
107490.036203516,1126315.47074731,90045.8,59.133951661,9.63082602,38.719612122
107492.891798997,1126345.00298386,90309.8,59.134216717,9.630876909,39.45401001
107492.898569077,1126344.99564488,90310,59.134216651,9.630877027,39.478111267
107492.885763305,1126344.95696475,90310.2,59.134216304,9.630876802,39.386676788
107492.808742372,1126345.08269318,90310.4,59.134217434,9.630875461,39.338844299
107492.816978054,1126345.08705384,90310.6,59.134217473,9.630875605,39.352661133
107492.816310695,1126345.07702674,90310.8,59.134217383,9.630875593,39.360313416
107492.813229167,1126345.0718964,90311,59.134217337,9.630875539,39.365619659
107492.812732907,1126345.06220382,90311.2,59.13421725,9.63087553,39.3670578
107492.816567658,1126345.06276833,90311.4,59.134217255,9.630875597,39.362957001
107492.815883044,1126345.06154161,90311.6,59.134217244,9.630875585,39.358184814
